#OTU ID	F1_06	F1_12	F1_18	M2_18	M3_06	M3_12	M1_06	M1_12	M1_18	F3_06	F3_12	F3_18	M4_06	M4_12	F5_06	F5_12	F5_18	M6_06	M6_12	M4_18	F4_06	F4_12	M6_14	M2_12	M5_06	M5_12	M5_18	M3_18	F2_06	F2_12
ASV46	4	0	1591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV45	0	0	0	0	0	0	0	0	0	0	0	0	1460	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0
ASV57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1399	0	0	0	0	0	0
ASV75	0	0	0	0	151	1175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
ASV76	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	1280	0	0	0	0	0	0
ASV89	0	0	0	0	40	0	0	7	0	0	0	0	1213	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	7	0
ASV85	0	0	0	0	0	1218	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0
ASV77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1219	0	0	0	0	0	0
ASV58	0	0	1208	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV61	3	0	0	0	0	0	0	3	0	0	0	1208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV62	0	0	0	217	0	0	89	0	12	86	0	157	295	0	0	0	44	0	0	0	0	0	286	0	0	0	0	0	0	20
ASV52	0	0	988	0	0	32	0	3	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
ASV78	0	0	0	0	0	19	3	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1145	5	0	0	0	0	0	0
ASV90	4	0	0	0	0	0	352	0	0	0	0	0	0	0	0	630	0	5	0	0	0	0	0	4	0	40	96	0	0	0
ASV87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1131	0	0	0	0	0	0	0	0	0	0	0	0
ASV72	0	0	0	0	0	0	0	0	866	0	0	0	0	0	0	0	0	0	0	4	0	2	0	4	0	0	223	0	0	0
ASV55	0	0	1078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV84	0	0	0	0	1055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV74	0	0	976	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV67	3	0	957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	10	0
ASV68	0	0	666	0	0	0	0	2	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215
ASV109	0	0	0	0	0	889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0
ASV79	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	855	0	0	0	0	0	0
ASV70	0	0	216	0	0	0	0	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV69	0	0	0	0	0	0	0	0	0	815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV73	0	0	0	0	0	0	0	0	0	0	791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	781
ASV105	0	0	0	0	0	765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
ASV102	0	0	0	0	0	0	754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV120	0	0	0	0	0	628	7	0	0	0	0	0	0	0	23	2	10	0	0	0	0	0	0	0	0	18	54	9	0	0
ASV81	0	0	311	0	0	113	0	0	291	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ASV132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	732	0	0	0	0
ASV134	0	0	0	0	0	0	718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	663	0	0	0	0	0	0
ASV130	0	0	0	0	0	648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
ASV98	0	0	0	0	547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101
ASV93	0	0	2	0	0	0	0	0	638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
